1;Sofia Jesus;Porto
2;Maria Martins;Faro
3;Maria Teixeira;Braga
4;Catarina Ribeiro;Coimbra
5;Paulo Santos;Évora
6;Maria Marques;Leiria
7;Rita Pereira;Braga
8;Bruno Marques;Setúbal
9;Miguel Pinto;Braga
10;Pedro Teixeira;Lisboa
11;Marta Santos;Porto
12;Fábio Silva;Faro
13;Catarina Sousa;Braga
14;Patrícia Oliveira;Lisboa
15;Rui Pinto;Setúbal
16;Fábio Gonçalves;Setúbal
17;Rui Martins;Lisboa
18;Andreia Lopes;Faro
19;Patrícia Oliveira;Viseu
20;Paulo Pereira;Viseu
21;Patrícia Pinto;Leiria
22;Inês Sousa;Braga
23;Fábio Santos;Lisboa
24;Daniel Pereira;Coimbra
25;Ana Sousa;Évora
26;Ana Rodrigues;Porto
27;Bruno Pinto;Évora
28;Tiago Lopes;Leiria
29;Paulo Fernandes;Leiria
30;Pedro Sousa;Aveiro
31;Miguel Jesus;Setúbal
32;Andreia Costa;Coimbra
33;Luís Ribeiro;Viseu
34;Ana Fernandes;Leiria
35;Marta Pinto;Lisboa
36;Andreia Pinto;Braga
37;Paulo Ribeiro;Viseu
38;Patrícia Fernandes;Setúbal
39;Rui Sousa;Évora
40;Fábio Alves;Coimbra
41;Patrícia Fernandes;Setúbal
42;Miguel Silva;Braga
43;Paulo Ferreira;Aveiro
44;Fábio Jesus;Porto
45;Ana Gomes;Braga
46;Marta Rodrigues;Faro
47;Fábio Lopes;Lisboa
48;Maria Rodrigues;Aveiro
49;Daniel Silva;Aveiro
50;Luís Fernandes;Faro
51;Rui Gomes;Setúbal
52;Catarina Pinto;Faro
53;Bruno Teixeira;Braga
54;João Silva;Porto
55;Carla Sousa;Setúbal
56;Fábio Costa;Leiria
57;Fábio Santos;Porto
58;Daniel Jesus;Porto
59;Tiago Marques;Coimbra
60;Paulo Teixeira;Braga
61;Miguel Ferreira;Lisboa
62;Ana Martins;Porto
63;Maria Gonçalves;Lisboa
64;Rita Jesus;Coimbra
65;Maria Costa;Évora
66;Ana Martins;Aveiro
67;Maria Gonçalves;Porto
68;Bruno Carvalho;Lisboa
69;Paulo Martins;Braga
70;Rui Jesus;Setúbal
71;Tiago Santos;Évora
72;Catarina Costa;Coimbra
73;João Alves;Faro
74;Inês Ribeiro;Aveiro
75;Fábio Pinto;Coimbra
76;Patrícia Silva;Lisboa
77;Inês Santos;Viseu
78;Pedro Gonçalves;Leiria
79;Rita Santos;Viseu
80;Bruno Pinto;Setúbal
81;Andreia Martins;Évora
82;Fábio Silva;Viseu
83;Daniel Gomes;Coimbra
84;Inês Gomes;Leiria
85;Sofia Alves;Leiria
86;Andreia Marques;Setúbal
87;Tiago Alves;Lisboa
88;Paulo Fernandes;Porto
89;Catarina Lopes;Évora
90;Maria Gomes;Lisboa
91;Carla Costa;Setúbal
